CustomerID,Gender,Age,Location,SignupDate,LastPurchaseDate,OrderCount,TotalSpend,FavCategory,AverageRating,Recency,Frequency,Monetary,ChurnRisk
CUST-00001,Female,59,Metro,2024-06-14,2024-08-24,3,2478.6,Beauty,3.5,495,3,2478.6,0
CUST-00002,Male,58,Urban,2024-09-22,2025-07-22,11,167072.33,Electronics,3.9,163,11,167072.33,0
CUST-00003,Female,40,Suburban,2024-04-13,2024-06-10,28,28860.01,Books,3.9,570,28,28860.01,0
CUST-00004,Female,37,Urban,2024-04-26,2025-09-25,37,34701.19,Books,3.4,98,37,34701.19,0
CUST-00005,Female,61,Metro,2023-02-18,2024-08-07,5,6400.18,Beauty,4.3,512,5,6400.18,0
CUST-00006,Female,32,Urban,2024-04-26,2025-12-04,26,57569.13,Apparel,4.2,28,26,57569.13,0
CUST-00007,Female,48,Suburban,2023-03-30,2024-11-09,29,26469.62,Books,5.0,418,29,26469.62,0
CUST-00008,Male,42,Urban,2023-04-27,2025-12-30,7,36478.96,Home Decor,4.5,2,7,36478.96,0
CUST-00009,Female,36,Metro,2024-07-07,2025-06-08,12,9756.22,Books,3.6,207,12,9756.22,0
CUST-00010,Male,44,Rural,2023-01-12,2024-08-16,17,30627.74,Beauty,4.9,503,17,30627.74,0
CUST-00011,Male,68,Metro,2023-04-05,2025-06-17,3,2978.48,Books,4.0,198,3,2978.48,0
CUST-00012,Male,41,Metro,2023-05-04,2023-12-14,24,295255.21,Electronics,4.8,749,24,295255.21,0
CUST-00013,Male,37,Urban,2024-03-17,2025-08-17,17,298733.5,Electronics,4.6,137,17,298733.5,0
CUST-00014,Male,65,Urban,2024-08-19,2025-02-24,30,36792.93,Beauty,4.2,311,30,36792.93,0
CUST-00015,Female,35,Metro,2024-01-27,2025-12-30,19,265610.56,Electronics,4.5,2,19,265610.56,0
CUST-00016,Male,29,Suburban,2024-12-22,2025-03-02,17,60971.95,Home Decor,3.9,305,17,60971.95,0
CUST-00017,Female,53,Urban,2023-01-19,2024-01-30,18,295590.42,Electronics,4.4,702,18,295590.42,0
CUST-00018,Female,28,Urban,2023-02-21,2023-07-29,18,80457.43,Home Decor,4.1,887,18,80457.43,0
CUST-00019,Female,45,Urban,2024-08-31,2025-03-07,30,20190.78,Books,4.0,300,30,20190.78,0
CUST-00020,Female,24,Urban,2024-09-25,2025-11-13,36,57422.95,Beauty,4.4,49,36,57422.95,0
CUST-00021,Female,59,Urban,2024-09-25,2025-07-30,13,57230.63,Home Decor,3.6,155,13,57230.63,0
CUST-00022,Female,25,Urban,2023-05-31,2023-10-30,8,12379.9,Apparel,4.9,794,8,12379.9,0
CUST-00023,Female,41,Suburban,2023-08-15,2024-12-21,8,9406.7,Beauty,5.0,376,8,9406.7,0
CUST-00024,Male,26,Metro,2024-10-30,2024-11-04,38,164824.83,Home Decor,4.8,423,38,164824.83,0
CUST-00025,Female,52,Urban,2024-09-20,2024-11-09,22,36945.18,Apparel,4.2,418,22,36945.18,0
CUST-00026,Male,60,Suburban,2023-07-06,2024-08-17,47,65544.34,Beauty,4.6,502,47,65544.34,0
CUST-00027,Male,19,Metro,2023-10-31,2025-09-29,26,114930.64,Home Decor,4.1,94,26,114930.64,0
CUST-00028,Female,39,Urban,2024-05-15,2024-12-29,16,67064.17,Home Decor,4.4,368,16,67064.17,0
CUST-00029,Male,39,Urban,2024-02-02,2025-05-06,34,579059.66,Electronics,4.2,240,34,579059.66,0
CUST-00030,Female,39,Rural,2023-09-21,2025-05-18,42,146534.48,Home Decor,5.0,228,42,146534.48,0
CUST-00031,Female,61,Metro,2024-01-23,2024-11-20,13,22027.71,Apparel,4.1,407,13,22027.71,0
CUST-00032,Male,19,Suburban,2023-01-12,2024-06-03,25,42001.85,Beauty,3.7,577,25,42001.85,0
CUST-00033,Female,26,Urban,2023-11-23,2024-12-04,21,407925.26,Electronics,4.4,393,21,407925.26,0
CUST-00034,Male,27,Urban,2023-05-23,2024-05-19,10,143145.5,Electronics,4.3,592,10,143145.5,0
CUST-00035,Female,26,Metro,2023-02-19,2023-10-05,13,10654.31,Books,3.5,819,13,10654.31,1
CUST-00036,Female,45,Metro,2024-03-26,2024-09-06,14,85048.83,Home Decor,3.8,482,14,85048.83,0
CUST-00037,Female,65,Urban,2023-10-14,2025-08-08,31,34337.87,Beauty,4.2,146,31,34337.87,0
CUST-00038,Male,40,Urban,2023-12-27,2025-10-03,27,345345.97,Electronics,3.6,90,27,345345.97,0
CUST-00039,Female,26,Suburban,2024-01-08,2024-09-13,5,16399.54,Home Decor,4.1,475,5,16399.54,0
CUST-00040,Male,29,Urban,2024-04-14,2024-07-24,13,148560.91,Electronics,4.4,526,13,148560.91,0
CUST-00041,Female,53,Urban,2023-08-30,2024-03-04,12,30580.24,Apparel,3.4,668,12,30580.24,0
CUST-00042,Male,21,Rural,2024-06-28,2025-09-27,19,16282.21,Books,3.6,96,19,16282.21,0
CUST-00043,Female,28,Urban,2024-04-29,2025-05-18,10,10583.16,Books,4.0,228,10,10583.16,0
CUST-00044,Female,66,Metro,2024-01-17,2024-02-08,48,87023.78,Apparel,4.8,693,48,87023.78,0
CUST-00045,Female,18,Suburban,2023-11-27,2024-03-18,72,68049.27,Books,3.6,654,72,68049.27,0
CUST-00046,Male,60,Rural,2024-06-02,2025-01-03,13,9354.95,Books,3.5,363,13,9354.95,0
CUST-00047,Male,24,Suburban,2023-01-02,2023-10-14,11,14971.05,Beauty,4.2,810,11,14971.05,0
CUST-00048,Female,47,Suburban,2023-03-19,2024-01-20,21,311812.21,Electronics,4.7,712,21,311812.21,0
CUST-00049,Female,21,Metro,2024-12-19,2025-12-30,9,179434.58,Electronics,4.8,2,9,179434.58,0
CUST-00050,Male,30,Suburban,2024-10-23,2025-06-25,5,12580.8,Home Decor,4.7,190,5,12580.8,0
CUST-00051,Female,44,Metro,2023-02-12,2024-12-23,29,60505.98,Apparel,3.5,374,29,60505.98,0
