OrderID,CustomerID,OrderDate,Product,Category,Quantity,Sales,Profit,Discount,Region,HourOfDay,DayOfWeek
ORD-000001,CUST-1955,2025-06-17 17:39:50,Cookware,Home & Kitchen,5,1338.3401243607743,334.5850310901936,0.0,East,17,Tuesday
ORD-000002,CUST-2351,2025-12-28 17:15:45,Socks,Clothing,3,361.81583460520255,100.56351873585777,0.15,South,17,Sunday
ORD-000003,CUST-4287,2025-11-26 19:00:36,Hair Dryer,Beauty,3,783.4959062512174,274.22356718792605,0.0,West,19,Wednesday
ORD-000004,CUST-1670,2025-08-02 19:32:30,Laptop,Electronics,3,9497.55362713092,4273.899132208914,0.0,North,19,Saturday
ORD-000005,CUST-4349,2025-06-28 05:18:12,Jeans,Clothing,2,295.0175774160208,88.50527322480623,0.0,South,5,Saturday
ORD-000006,CUST-0438,2025-02-05 20:00:19,Blender,Home & Kitchen,3,489.714233397746,122.4285583494365,0.0,South,20,Wednesday
ORD-000007,CUST-3878,2025-10-13 00:24:18,Textbook,Books,2,86.6221971957043,17.324439439140864,0.0,North,0,Monday
ORD-000008,CUST-4248,2025-08-02 20:39:09,Sneakers,Clothing,4,478.57998170694486,139.1660209963616,0.05,East,20,Saturday
ORD-000009,CUST-0898,2025-09-15 20:53:44,Cookware,Home & Kitchen,5,1401.9181179276377,319.3257935279619,0.1,North,20,Monday
ORD-000010,CUST-2135,2025-12-16 17:13:09,Laptop,Electronics,1,1270.3913414097515,570.0045360799018,0.05,South,17,Tuesday
ORD-000011,CUST-0811,2025-10-11 07:48:55,Socks,Clothing,5,672.5814078463245,195.57959359741804,0.05,North,7,Saturday
ORD-000012,CUST-3525,2025-03-01 19:52:34,Skincare Set,Beauty,5,498.529556660273,171.20554511622535,0.05,North,19,Saturday
ORD-000013,CUST-2660,2025-10-04 02:30:22,Shampoo,Beauty,5,849.1431356543966,285.96143833067174,0.15,East,2,Saturday
ORD-000014,CUST-3173,2025-04-19 20:21:45,Vacuum,Home & Kitchen,1,329.99712315868675,72.30819316271226,0.15,West,20,Saturday
ORD-000015,CUST-0980,2025-03-22 08:04:19,Socks,Clothing,2,242.5315675480377,68.717277471944,0.1,North,8,Saturday
ORD-000016,CUST-1045,2025-10-24 14:17:27,Fiction Novel,Books,4,141.77464915626098,28.354929831252196,0.0,North,14,Friday
ORD-000017,CUST-0204,2025-03-25 17:52:21,Headphones,Electronics,1,1025.871174201766,461.64202839079474,0.0,North,17,Tuesday
