MatchID,PlayerID,PlayerName,Team,Position,Goals,Assists,Tackles,PassAccuracy,MinutesPlayed,Rating
MCH-1698,PLR-047,Player 11,Strikers,Defender,1,1,3,78.7,90,8.7
MCH-0920,PLR-037,Player 1,Strikers,Defender,0,0,3,78.2,90,6.8
MCH-0162,PLR-016,Martin Odegaard,Vipers,Midfielder,0,0,5,87.0,90,6.3
MCH-1913,PLR-005,Kevin De Bruyne,Wizards,Goalkeeper,0,0,0,55.1,90,7.0
MCH-0490,PLR-003,Kylian Mbappe,Vipers,Defender,0,0,9,90.7,90,7.0
MCH-0858,PLR-047,Player 11,Strikers,Defender,0,0,8,88.2,90,7.2
MCH-1816,PLR-022,Pedri,Gladiators,Defender,0,0,6,76.4,45,6.9
MCH-0689,PLR-020,Rodri,Strikers,Midfielder,0,0,5,71.0,75,6.8
MCH-0036,PLR-017,Antoine Griezmann,Centurions,Midfielder,0,0,5,88.8,90,5.9
MCH-0529,PLR-038,Player 2,Ironclads,Defender,0,0,5,88.3,90,6.1
MCH-0973,PLR-014,Son Heung-min,Titans,Defender,0,0,6,74.1,90,7.6
MCH-1735,PLR-005,Kevin De Bruyne,Wizards,Goalkeeper,0,0,0,51.6,45,6.4
MCH-1548,PLR-039,Player 3,Vipers,Midfielder,0,0,1,70.7,15,6.2
MCH-1377,PLR-020,Rodri,Strikers,Midfielder,0,1,2,72.5,90,7.3
MCH-0817,PLR-007,Harry Kane,Knights,Goalkeeper,0,0,0,68.6,90,7.2
MCH-0795,PLR-012,Bruno Fernandes,Wizards,Midfielder,0,0,2,68.0,90,6.7
MCH-0958,PLR-002,Cristiano Ronaldo,Titans,Forward,0,0,1,94.3,90,6.5
MCH-0784,PLR-022,Pedri,Gladiators,Defender,0,0,3,69.4,75,6.8
MCH-1989,PLR-039,Player 3,Vipers,Midfielder,0,1,5,71.6,90,7.4
MCH-1416,PLR-001,Lionel Messi,Phoenix FC,Forward,1,0,0,74.5,60,7.6
MCH-1151,PLR-023,Gavi,Centurions,Midfielder,0,0,4,81.5,90,7.1
MCH-0718,PLR-039,Player 3,Vipers,Midfielder,0,0,3,70.5,90,5.5
MCH-1569,PLR-039,Player 3,Vipers,Midfielder,2,1,2,75.6,90,10.0
MCH-0765,PLR-040,Player 4,Phoenix FC,Defender,0,0,6,83.4,90,7.0
MCH-1819,PLR-025,Harry Maguire,Centurions,Midfielder,0,1,5,69.9,90,6.9
MCH-0956,PLR-016,Martin Odegaard,Vipers,Midfielder,0,1,2,74.0,90,7.3
MCH-1769,PLR-013,Marcus Rashford,Thunderbolts,Midfielder,0,0,1,76.7,90,7.7
MCH-0006,PLR-019,Vinicius Jr,Wizards,Goalkeeper,0,0,0,53.5,90,6.6
MCH-1858,PLR-036,Player 0,Thunderbolts,Goalkeeper,0,0,0,71.5,90,6.6
MCH-1721,PLR-032,Raphael Varane,Titans,Defender,0,0,7,85.5,15,7.5
MCH-0069,PLR-031,Casemiro,Phoenix FC,Midfielder,0,2,2,91.8,15,7.4
MCH-1943,PLR-039,Player 3,Vipers,Midfielder,0,0,1,92.1,90,6.2
MCH-1236,PLR-037,Player 1,Strikers,Defender,0,0,7,77.8,90,6.6
MCH-0007,PLR-050,Player 14,Vipers,Midfielder,0,0,2,68.5,90,5.6
MCH-0175,PLR-009,Luka Modric,Ironclads,Midfielder,0,0,5,82.4,90,6.1
MCH-1648,PLR-018,Jude Bellingham,Phoenix FC,Midfielder,1,1,3,71.1,90,8.0
MCH-1148,PLR-023,Gavi,Centurions,Midfielder,0,0,2,69.9,90,6.1
MCH-0460,PLR-027,Jack Grealish,Wizards,Defender,0,0,5,73.2,60,6.1
MCH-1030,PLR-039,Player 3,Vipers,Midfielder,0,2,4,87.1,90,7.9
MCH-1861,PLR-019,Vinicius Jr,Wizards,Goalkeeper,0,0,0,51.4,60,8.2
MCH-0156,PLR-008,Robert Lewandowski,Gladiators,Forward,0,1,0,93.4,75,6.1
MCH-0758,PLR-024,Jamal Musiala,Strikers,Midfielder,0,1,2,66.1,90,7.2
MCH-1500,PLR-039,Player 3,Vipers,Midfielder,0,0,2,74.5,45,6.0
MCH-0706,PLR-037,Player 1,Strikers,Defender,0,0,7,68.2,90,6.9
MCH-1032,PLR-010,Virgil van Dijk,Thunderbolts,Forward,0,0,0,72.1,90,6.1
MCH-0025,PLR-036,Player 0,Thunderbolts,Goalkeeper,0,0,0,66.8,90,7.2
MCH-0499,PLR-038,Player 2,Ironclads,Defender,0,0,7,66.5,90,7.4
MCH-0463,PLR-025,Harry Maguire,Centurions,Midfielder,0,0,4,87.0,90,7.0
MCH-0712,PLR-021,Bernardo Silva,Titans,Goalkeeper,0,0,0,59.3,90,6.4
MCH-0235,PLR-022,Pedri,Gladiators,Defender,0,0,9,77.0,90,7.4
MCH-1039,PLR-026,Declan Rice,Wizards,Midfielder,0,0,3,80.4,90,6.3
MCH-0063,PLR-025,Harry Maguire,Centurions,Midfielder,0,1,1,80.0,90,7.3
MCH-1194,PLR-006,Mohamed Salah,Centurions,Midfielder,0,0,2,78.7,90,6.1
MCH-1938,PLR-047,Player 11,Strikers,Defender,0,0,5,80.3,75,7.5
MCH-0705,PLR-025,Harry Maguire,Centurions,Midfielder,2,1,5,73.7,90,10.0
MCH-1671,PLR-018,Jude Bellingham,Phoenix FC,Midfielder,0,0,5,82.7,90,6.0
MCH-1970,PLR-039,Player 3,Vipers,Midfielder,0,0,2,86.4,90,7.2
MCH-1022,PLR-040,Player 4,Phoenix FC,Defender,0,1,3,70.4,45,7.9
MCH-0545,PLR-045,Player 9,Ironclads,Midfielder,0,0,4,80.4,90,7.4
MCH-1823,PLR-010,Virgil van Dijk,Thunderbolts,Forward,1,0,1,65.1,90,8.1
MCH-0363,PLR-013,Marcus Rashford,Thunderbolts,Midfielder,0,1,4,70.2,90,8.3
MCH-1055,PLR-030,Ederson,Vipers,Midfielder,0,1,4,74.7,90,7.0
MCH-0114,PLR-011,Neymar Jr,Phoenix FC,Defender,0,0,4,78.5,90,7.3
MCH-0763,PLR-024,Jamal Musiala,Strikers,Midfielder,0,1,2,89.1,75,7.7
MCH-0778,PLR-033,Thiago Silva,Knights,Goalkeeper,0,0,0,69.0,90,5.4
MCH-1079,PLR-031,Casemiro,Phoenix FC,Midfielder,0,0,3,72.7,90,6.9
MCH-1077,PLR-045,Player 9,Ironclads,Midfielder,1,0,2,68.7,90,8.1
MCH-1621,PLR-005,Kevin De Bruyne,Wizards,Goalkeeper,0,0,0,73.2,90,6.1
MCH-1346,PLR-005,Kevin De Bruyne,Wizards,Goalkeeper,0,0,0,56.6,15,6.3
MCH-0036,PLR-032,Raphael Varane,Titans,Defender,0,0,3,85.2,90,8.4
MCH-0347,PLR-033,Thiago Silva,Knights,Goalkeeper,0,0,0,71.1,45,6.0
MCH-1654,PLR-027,Jack Grealish,Wizards,Defender,0,0,5,71.8,90,7.2
MCH-0608,PLR-026,Declan Rice,Wizards,Midfielder,2,2,3,85.3,75,10.0
MCH-0758,PLR-011,Neymar Jr,Phoenix FC,Defender,0,0,3,71.6,90,7.8
MCH-0899,PLR-003,Kylian Mbappe,Vipers,Defender,0,0,6,77.0,90,6.8
MCH-1792,PLR-034,Reece James,Ironclads,Forward,1,0,2,75.1,90,7.5
MCH-1571,PLR-001,Lionel Messi,Phoenix FC,Forward,1,0,0,85.9,90,7.9
MCH-1762,PLR-024,Jamal Musiala,Strikers,Midfielder,0,0,1,65.4,90,7.3
MCH-0650,PLR-006,Mohamed Salah,Centurions,Midfielder,1,0,4,86.7,60,8.2
MCH-0243,PLR-009,Luka Modric,Ironclads,Midfielder,2,0,5,73.1,15,9.5
MCH-1316,PLR-039,Player 3,Vipers,Midfielder,0,0,5,67.2,90,6.4
MCH-0056,PLR-013,Marcus Rashford,Thunderbolts,Midfielder,1,0,4,86.2,75,7.7
MCH-1451,PLR-001,Lionel Messi,Phoenix FC,Forward,1,0,2,78.8,90,6.8
MCH-1321,PLR-039,Player 3,Vipers,Midfielder,0,1,3,87.5,15,7.0
MCH-1360,PLR-006,Mohamed Salah,Centurions,Midfielder,0,0,5,88.4,15,6.1
MCH-0141,PLR-009,Luka Modric,Ironclads,Midfielder,0,1,4,86.0,90,6.7
MCH-0617,PLR-012,Bruno Fernandes,Wizards,Midfielder,0,1,5,92.8,90,7.3
MCH-0625,PLR-010,Virgil van Dijk,Thunderbolts,Forward,0,0,0,81.9,90,7.8
MCH-1931,PLR-001,Lionel Messi,Phoenix FC,Forward,0,0,2,80.9,90,6.4
MCH-0960,PLR-008,Robert Lewandowski,Gladiators,Forward,2,0,0,70.4,90,8.9
MCH-1930,PLR-026,Declan Rice,Wizards,Midfielder,0,0,3,75.0,75,5.8
MCH-1674,PLR-027,Jack Grealish,Wizards,Defender,0,0,5,91.2,90,7.5
MCH-1447,PLR-018,Jude Bellingham,Phoenix FC,Midfielder,0,0,2,94.2,90,6.7
MCH-1871,PLR-036,Player 0,Thunderbolts,Goalkeeper,0,0,0,64.3,90,6.8
MCH-1327,PLR-020,Rodri,Strikers,Midfielder,0,0,1,81.7,90,6.7
MCH-1197,PLR-037,Player 1,Strikers,Defender,0,0,5,70.8,90,8.0
MCH-1689,PLR-047,Player 11,Strikers,Defender,0,0,9,80.0,90,7.3
MCH-0523,PLR-001,Lionel Messi,Phoenix FC,Forward,0,0,1,93.3,90,6.4
MCH-1307,PLR-021,Bernardo Silva,Titans,Goalkeeper,0,0,0,59.4,45,6.2
MCH-0367,PLR-048,Player 12,Phoenix FC,Midfielder,1,0,3,86.5,90,7.5
MCH-0249,PLR-036,Player 0,Thunderbolts,Goalkeeper,0,0,0,60.1,90,6.9
MCH-1677,PLR-045,Player 9,Ironclads,Midfielder,1,1,3,82.3,90,8.5
MCH-1128,PLR-026,Declan Rice,Wizards,Midfielder,0,0,2,71.9,90,6.1
MCH-1823,PLR-046,Player 10,Strikers,Forward,0,0,2,87.3,90,6.4
MCH-0420,PLR-035,Ben Chilwell,Centurions,Midfielder,2,0,5,79.3,90,9.9
MCH-1126,PLR-014,Son Heung-min,Titans,Defender,0,0,6,88.3,90,6.7
MCH-1500,PLR-035,Ben Chilwell,Centurions,Midfielder,0,2,1,81.4,90,7.8
MCH-1832,PLR-027,Jack Grealish,Wizards,Defender,0,0,6,78.1,90,7.6
MCH-0108,PLR-028,Trent Alexander-Arnold,Strikers,Defender,1,0,6,90.0,75,7.4
MCH-0798,PLR-010,Virgil van Dijk,Thunderbolts,Forward,0,0,0,90.4,90,6.6
MCH-1855,PLR-025,Harry Maguire,Centurions,Midfielder,0,0,4,85.8,90,6.9
MCH-0815,PLR-028,Trent Alexander-Arnold,Strikers,Defender,0,0,4,88.7,90,5.4
MCH-1169,PLR-020,Rodri,Strikers,Midfielder,0,2,5,81.3,90,8.0
MCH-0759,PLR-011,Neymar Jr,Phoenix FC,Defender,0,0,4,93.6,90,6.4
MCH-0305,PLR-022,Pedri,Gladiators,Defender,0,0,3,85.2,90,6.6
MCH-1860,PLR-038,Player 2,Ironclads,Defender,0,0,9,73.2,90,7.5
MCH-1706,PLR-049,Player 13,Phoenix FC,Defender,0,0,6,89.4,90,7.3
MCH-0827,PLR-018,Jude Bellingham,Phoenix FC,Midfielder,0,0,4,82.2,90,5.6
MCH-1811,PLR-042,Player 6,Titans,Midfielder,0,3,5,93.5,90,9.3
MCH-0937,PLR-014,Son Heung-min,Titans,Defender,0,0,9,80.7,60,6.7
MCH-0712,PLR-043,Player 7,Centurions,Midfielder,0,2,3,82.7,90,7.7
