MatchID,Date,TeamA,TeamB,TeamA_Score,TeamB_Score,Possession_TeamA,Shots_TeamA,WinProbability,Outcome
MCH-0001,2025-12-18,Ironclads,Centurions,1,4,50,9,0.5,Team B Win
MCH-0002,2025-07-18,Gladiators,Centurions,1,0,63,6,0.5,Team A Win
MCH-0003,2025-08-14,Thunderbolts,Strikers,1,0,51,8,0.65,Team A Win
MCH-0004,2025-05-20,Knights,Phoenix FC,0,1,45,10,0.5,Team B Win
MCH-0005,2025-08-01,Vipers,Wizards,3,0,61,14,0.5,Team A Win
MCH-0006,2025-05-02,Thunderbolts,Knights,4,2,56,8,0.65,Team A Win
MCH-0007,2025-05-09,Wizards,Titans,2,0,51,18,0.5,Team A Win
MCH-0008,2025-01-13,Knights,Strikers,1,2,54,17,0.5,Team B Win
MCH-0009,2025-04-05,Knights,Gladiators,0,1,39,9,0.5,Team B Win
MCH-0010,2025-08-23,Wizards,Gladiators,2,0,42,17,0.5,Team A Win
MCH-0011,2025-07-25,Gladiators,Phoenix FC,2,1,62,19,0.5,Team A Win
MCH-0012,2025-05-19,Thunderbolts,Titans,2,1,62,18,0.65,Team A Win
MCH-0013,2025-03-03,Wizards,Ironclads,2,2,50,12,0.5,Draw
MCH-0014,2025-01-25,Knights,Vipers,0,2,59,10,0.5,Team B Win
MCH-0015,2025-12-24,Knights,Strikers,3,0,49,16,0.5,Team A Win
MCH-0016,2025-11-25,Phoenix FC,Thunderbolts,0,1,57,17,0.35,Team B Win
MCH-0017,2025-05-19,Gladiators,Thunderbolts,1,0,51,5,0.35,Team A Win
MCH-0018,2025-02-03,Strikers,Thunderbolts,3,1,41,13,0.35,Team A Win
MCH-0019,2025-01-09,Knights,Wizards,0,0,46,16,0.5,Draw
MCH-0020,2025-04-14,Titans,Ironclads,0,0,44,7,0.5,Draw
MCH-0021,2025-01-12,Strikers,Phoenix FC,2,2,39,18,0.5,Draw
MCH-0022,2025-05-20,Phoenix FC,Vipers,1,2,61,9,0.5,Team B Win
MCH-0023,2025-10-15,Knights,Centurions,0,1,64,7,0.5,Team B Win
MCH-0024,2025-06-10,Vipers,Strikers,2,3,62,13,0.5,Team B Win
MCH-0025,2025-11-29,Vipers,Knights,3,4,64,19,0.5,Team B Win
MCH-0026,2025-03-19,Gladiators,Centurions,1,0,38,9,0.5,Team A Win
MCH-0027,2025-03-30,Strikers,Ironclads,4,0,54,8,0.5,Team A Win
MCH-0028,2025-06-15,Strikers,Ironclads,4,3,54,14,0.5,Team A Win
MCH-0029,2025-02-11,Wizards,Knights,2,2,53,15,0.5,Draw
MCH-0030,2025-03-18,Ironclads,Wizards,3,0,60,13,0.5,Team A Win
MCH-0031,2025-08-28,Phoenix FC,Gladiators,4,0,39,17,0.5,Team A Win
MCH-0032,2025-09-07,Thunderbolts,Strikers,1,4,56,16,0.65,Team B Win
MCH-0033,2025-12-11,Strikers,Vipers,2,4,41,15,0.5,Team B Win
MCH-0034,2025-03-30,Thunderbolts,Ironclads,0,3,43,5,0.65,Team B Win
MCH-0035,2025-09-18,Titans,Wizards,0,3,58,6,0.5,Team B Win
MCH-0036,2025-11-22,Vipers,Wizards,3,1,55,6,0.5,Team A Win
MCH-0037,2025-10-20,Thunderbolts,Titans,0,0,49,14,0.65,Draw
MCH-0038,2025-02-08,Strikers,Phoenix FC,1,2,37,10,0.5,Team B Win
MCH-0039,2025-01-08,Phoenix FC,Titans,4,1,44,8,0.5,Team A Win
MCH-0040,2025-09-25,Titans,Strikers,0,1,62,6,0.5,Team B Win
MCH-0041,2025-06-09,Gladiators,Wizards,1,2,52,11,0.5,Team B Win
MCH-0042,2025-09-24,Titans,Wizards,4,0,54,5,0.5,Team A Win
MCH-0043,2025-08-26,Ironclads,Thunderbolts,0,2,56,16,0.35,Team B Win
MCH-0044,2025-05-09,Gladiators,Ironclads,2,2,52,16,0.5,Draw
MCH-0045,2025-04-06,Gladiators,Knights,0,4,41,10,0.5,Team B Win
MCH-0046,2025-08-28,Titans,Gladiators,2,2,47,17,0.5,Draw
MCH-0047,2025-08-12,Wizards,Vipers,1,2,36,17,0.5,Team B Win
