Date,Ticker,Sector,Open,High,Low,Close,Volume
2022-01-03,AAPL,Technology,150.0,151.04,148.74,150.49,10667852
2022-01-04,AAPL,Technology,150.49,155.47,149.73,155.07,6419860
2022-01-05,AAPL,Technology,155.07,155.2,151.02,151.54,6792714
2022-01-06,AAPL,Technology,151.54,152.3,148.58,149.53,12167214
2022-01-07,AAPL,Technology,149.53,152.93,146.71,151.87,9077336
2022-01-10,AAPL,Technology,151.87,154.48,150.22,153.69,6618157
2022-01-11,AAPL,Technology,153.69,156.28,152.22,154.96,14549951
2022-01-12,AAPL,Technology,154.96,155.69,154.13,155.04,7360589
2022-01-13,AAPL,Technology,155.04,157.7,154.13,157.14,5488187
2022-01-14,AAPL,Technology,157.14,157.53,155.88,156.05,7130279
2022-01-17,AAPL,Technology,156.05,162.27,155.34,160.28,9287828
2022-01-18,AAPL,Technology,160.28,163.02,159.82,162.07,14018410
2022-01-19,AAPL,Technology,162.07,164.96,161.44,163.87,7547220
2022-01-20,AAPL,Technology,163.87,164.86,161.24,163.08,8162658
2022-01-21,AAPL,Technology,163.08,165.07,159.57,160.57,9804729
2022-01-24,AAPL,Technology,160.57,164.72,160.15,164.28,9606847
2022-01-25,AAPL,Technology,164.28,168.21,163.94,165.45,13248423
2022-01-26,AAPL,Technology,165.45,166.76,163.89,165.88,6146306
2022-01-27,AAPL,Technology,165.88,168.89,163.89,166.56,21561577
2022-01-28,AAPL,Technology,166.56,168.22,166.4,166.46,17634644
2022-01-31,AAPL,Technology,166.46,172.83,165.09,170.44,7251388
2022-02-01,AAPL,Technology,170.44,171.47,169.6,169.69,6886137
2022-02-02,AAPL,Technology,169.69,171.78,169.14,170.82,4954353
2022-02-03,AAPL,Technology,170.82,174.66,170.36,174.54,9402459
2022-02-04,AAPL,Technology,174.54,174.8,172.01,173.0,9975286
2022-02-07,AAPL,Technology,173.0,174.66,171.65,173.49,8905658
2022-02-08,AAPL,Technology,173.49,175.37,171.52,172.21,7177247
2022-02-09,AAPL,Technology,172.21,172.5,167.99,168.81,3703290
2022-02-10,AAPL,Technology,168.81,170.27,167.6,169.36,11512122
2022-02-11,AAPL,Technology,169.36,169.43,166.66,168.33,5872794
2022-02-14,AAPL,Technology,168.33,168.54,167.41,168.51,8703178
2022-02-15,AAPL,Technology,168.51,170.1,167.89,169.27,10685338
2022-02-16,AAPL,Technology,169.27,173.68,167.4,173.21,9363997
2022-02-17,AAPL,Technology,173.21,173.82,167.26,167.81,6002613
2022-02-18,AAPL,Technology,167.81,172.21,166.92,170.35,9990793
2022-02-21,AAPL,Technology,170.35,171.97,169.56,171.04,4584552
2022-02-22,AAPL,Technology,171.04,174.77,169.2,173.71,11361551
2022-02-23,AAPL,Technology,173.71,178.03,173.04,176.33,6246822
2022-02-24,AAPL,Technology,176.33,179.94,175.68,177.42,20087012
2022-02-25,AAPL,Technology,177.42,179.16,175.22,179.01,8675639
2022-02-28,AAPL,Technology,179.01,182.13,178.93,180.55,16006738
2022-03-01,AAPL,Technology,180.55,183.21,180.25,182.2,8527740
2022-03-02,AAPL,Technology,182.2,183.5,181.67,183.02,4894525
2022-03-03,AAPL,Technology,183.02,187.14,181.39,185.33,8560237
2022-03-04,AAPL,Technology,185.33,188.59,184.43,186.82,15495215
2022-03-07,AAPL,Technology,186.82,187.57,186.27,186.95,17119305
2022-03-08,AAPL,Technology,186.95,188.04,183.82,184.52,24947843
2022-03-09,AAPL,Technology,184.52,186.49,177.58,180.38,6313421
2022-03-10,AAPL,Technology,180.38,180.74,178.59,178.94,4565601
2022-03-11,AAPL,Technology,178.94,179.95,175.24,176.71,7276144
2022-03-14,AAPL,Technology,176.71,176.9,175.59,175.86,10901993
2022-03-15,AAPL,Technology,175.86,176.93,172.05,174.06,10599543
2022-03-16,AAPL,Technology,174.06,175.78,173.34,174.65,7532528
2022-03-17,AAPL,Technology,174.65,176.19,172.95,173.95,7741645
2022-03-18,AAPL,Technology,173.95,181.05,173.89,177.46,10097509
2022-03-21,AAPL,Technology,177.46,178.07,174.62,175.11,11940840
2022-03-22,AAPL,Technology,175.11,183.13,174.67,180.57,3311406
2022-03-23,AAPL,Technology,180.57,181.27,177.79,179.78,18110334
2022-03-24,AAPL,Technology,179.78,182.95,179.06,181.92,5337593
2022-03-25,AAPL,Technology,181.92,184.0,181.43,183.21,8531075
2022-03-28,AAPL,Technology,183.21,185.61,181.3,184.59,9955477
2022-03-29,AAPL,Technology,184.59,185.01,181.99,183.44,11729463
2022-03-30,AAPL,Technology,183.44,187.2,182.57,184.28,9346369
2022-03-31,AAPL,Technology,184.28,187.83,182.31,186.39,4416430
2022-04-01,AAPL,Technology,186.39,188.23,184.64,186.73,10497565
2022-04-04,AAPL,Technology,186.73,190.06,184.63,186.09,14404366
2022-04-05,AAPL,Technology,186.09,188.22,185.71,187.97,12093431
2022-04-06,AAPL,Technology,187.97,191.6,187.05,189.13,11561243
2022-04-07,AAPL,Technology,189.13,189.25,183.73,186.13,7910593
2022-04-08,AAPL,Technology,186.13,188.39,185.84,187.56,4242581
2022-04-11,AAPL,Technology,187.56,190.75,185.52,189.02,12278213
2022-04-12,AAPL,Technology,189.02,192.53,188.17,191.3,12320594
2022-04-13,AAPL,Technology,191.3,193.32,190.35,193.0,18985868
2022-04-14,AAPL,Technology,193.0,197.73,192.59,196.79,16395612
2022-04-15,AAPL,Technology,196.79,198.4,196.55,196.58,9372496
2022-04-18,AAPL,Technology,196.58,196.6,193.23,195.31,14744439
2022-04-19,AAPL,Technology,195.31,196.84,192.3,194.19,17167756
2022-04-20,AAPL,Technology,194.19,196.64,188.28,190.0,4557214
2022-04-21,AAPL,Technology,190.0,193.46,187.54,191.96,8648149
2022-04-22,AAPL,Technology,191.96,193.1,191.42,192.2,4327291
2022-04-25,AAPL,Technology,192.2,195.07,192.07,194.38,5284970
2022-04-26,AAPL,Technology,194.38,200.05,193.44,199.58,9312672
2022-04-27,AAPL,Technology,199.58,200.54,198.3,198.93,5729918
2022-04-28,AAPL,Technology,198.93,202.39,197.61,198.51,11985874
2022-04-29,AAPL,Technology,198.51,202.34,195.47,201.68,11657764
